4322,Darrogahat,,Chittagong,22.857401,91.533203
4600,Bandarban Sadar,,Bandarban,21.912100,92.311897
9411,Murarikati,,Satkhira,22.299999,89.050003
9381,Kahalpur,,IBH WAs Here,22.650000,89.375000
1204,Gendaria TSO,,Dhaka,23.701099,90.426300
2371,Abdullahpur,,Kishoreganj,22.966700,91.166702
3352,Kadirganj,,Hobiganj,24.516701,91.366699
3511,Madhaiabazar,,Comilla,23.289700,90.981400
4204,Patenga,,Chittagong,23.975000,90.625000
1362,Matuail,,Dhaka,23.716700,90.466698
2022,Gilabari,,Jamalpur,24.500000,90.066704
7222,Andulbaria,,Chuadanga,23.483299,88.883301
8400,Jhalokathi Sadar,,Jhalokathi,22.741699,90.199997
8650,Khepupara,,Patuakhali,21.983299,90.216698
1550,Srinagar,,Munshiganj,23.816700,89.833298
7405,Rupdia,,Jessore,23.133301,89.300003
8024,Kartikpur,,Shariatpur,23.233299,90.466698
6291,Premtoli,,Rajshahi,24.466700,88.333298
7350,Naldanga,,Jinaidaha,23.433300,89.183296
2040,Mathargonj,,Jamalpur,24.428301,89.896698
3519,Eliotganj,,Comilla,23.289700,90.981400
5520,Tushbhandar,,Lalmonirhat,25.966700,89.199997
5620,Ulipur,,Kurigram,24.900000,89.400002
5850,Dhunat,,Bogra,24.683300,89.550003
6621,Dhapari,,Pabna,23.616699,89.766701
3130,Bishwanath,,Sylhet,23.751400,91.194901
3412,Rasullabad,,Brahmanbaria,24.019400,90.924400
3721,Alipur,,Lakshmipur,23.100000,90.283302
3806,Mriddarhat,,Noakhali,23.233299,90.966698
4580,Longachh,,Rangamati,22.506599,92.159698
8403,Gabha,,Jhalokathi,22.766701,90.166702
9273,Nalian,,Khulna,22.433300,89.449997
3201,Barakapan,,Moulvibazar,24.659300,91.611000
4396,Lohagara,,Chittagong,22.012199,92.095596
5920,Khetlal,,Joypurhat,24.900000,89.099998
6342,Manaksha,,Chapinawabganj,24.677799,88.419403
8140,Maksudpur,,Gopalganj,23.533300,90.166702
8530,Banaripara,,Pirojpur,22.799999,90.166702
2201,Kawatkhali,,Mymensingh,23.183300,90.133301
