384 32,Lažiště,,Prachatice,49.033298,13.933300
592 04,Tři Studně,,Žďár nad Sázavou,49.616699,16.033300
735 62,Mistřovice,,Karviná,49.750000,18.566700
747 51,Stěbořice,,Opava,49.933300,17.816700
345 35,Postřekov,,Domažlice,49.450001,12.816700
468 33,Jenišovice,,Jablonec nad Nisou,50.633301,15.150000
783 46,Luběnice,,Olomouc,49.583302,17.116699
763 41,Kaňovice,,Zlín,49.116699,17.650000
735 64,Dolní Suchá,,Karviná,49.799999,18.433300
277 23,Truskavna,,Mělník,50.433300,14.550000
270 34,Kůzová,,Rakovník,50.033298,13.533300
715 00,Michálkovice,,Ostrava-město,49.833302,18.350000
267 26,Všeradice,,Beroun,49.883301,14.116700
273 42,Dřetovice,,Kladno,50.183300,14.216700
696 13,Šardice,,Hodonín,48.966702,17.033300
747 84,Moravice,,Opava,49.849998,17.716700
539 74,Předhradí,,Chrudim,49.835899,15.980100
569 44,Jaroměřice,,Svitavy,49.633301,16.750000
468 11,Loučná nad Nisou,,Jablonec nad Nisou,50.777802,15.172200
504 01,Králíky,,Hradec Králové,50.266701,15.533300
696 84,Těmice,,Hodonín,49.000000,17.266701
684 01,Němčany,,Vyškov,49.166698,16.900000
788 16,Rudoltice,,Šumperk,49.983299,17.100000
141 00,Praha 4-Chodov,,Hlavní město Praha,50.071201,14.275800
407 45,Mlýny,,Děčín,50.816700,14.500000
533 16,Tetov,,Pardubice,50.083302,15.450000
760 05,Zlín (Jižní Svahy),,Zlín,49.229198,17.668699
675 79,Tasov,,Třebíč,49.283298,16.100000
583 01,Jilem,,Havlíčkův Brod,49.716702,15.583300
549 56,Česká Metuje,,Náchod,50.549999,16.183300
588 45,Dolní Cerekev,,Jihlava,49.349998,15.466700
281 03,Chotutice,,Kolín,50.066700,14.983300
270 06,Kounov,,Rakovník,50.216702,13.666700
460 05,Liberec V - Kristiánov,,Liberec,50.772202,14.955600
503 55,Petrovice,,Hradec Králové,50.166698,16.049999
563 01,Rýdrovice,,Ústí nad Orlicí,49.966702,16.733299
641 00,Brno-Žebětín,,Brno-město,49.200001,16.483299
664 04,Mokrá,,Brno-venkov,49.233299,16.750000
793 76,Ondřejovice,,Jeseník,50.250000,17.350000
273 74,Čeradice,,Kladno,50.299999,14.016700
384 91,Horní Vltavice,,Prachatice,48.950001,13.766700
431 83,Výsluní,,Chomutov,50.466702,13.233300
675 05,Bochovice,,Třebíč,49.316700,15.900000
262 56,Přední Chlum,,Příbram,49.599998,14.200000
387 36,Mečichov,,Strakonice,49.349998,13.816700
642 00,Brno-Bosonohy,,Brno-město,49.166698,16.533300
588 52,Horní Dubenky,,Jihlava,49.266701,15.316700
542 26,Horní Albeřice,,Trutnov,50.700001,15.850000
561 56,Horní Čermná,,Ústí nad Orlicí,49.966702,16.583300
471 52,Svojkov,,Česká Lípa,50.716702,14.600000
569 62,Sebranice,,Svitavy,49.783298,16.250000
561 54,Bystřec,,Ústí nad Orlicí,50.016701,16.616699
696 35,Dambořice,,Hodonín,49.033298,16.916700
696 55,Bohuslavice,,Hodonín,49.049999,17.133301
592 64,Prosetín,,Žďár nad Sázavou,49.533298,16.383301
373 71,Libníč,,České Budějovice,49.016701,14.533300
335 55,Neurazy,,Plzeň-jih,49.450001,13.516700
403 34,Velké Chvojno,,Ústí nad Labem,50.733299,14.033300
562 04,Ústí nad Orlicí,,Ústí nad Orlicí,49.987701,16.338400
387 43,Bělčice,,Strakonice,49.500000,13.883300
357 55,Dasnice,,Sokolov,50.150002,12.566700
471 21,Dobranov,,Česká Lípa,50.683300,14.583300
679 61,Meziříčko,,Blansko,49.566700,16.549999
267 18,Kozolupy,,Beroun,49.966702,14.200000
294 06,Martinovice,,Mladá Boleslav,50.433300,15.033300
378 52,Blažejov,,Jindřichův Hradec,49.150002,15.100000
407 23,Malý Šachov,,Děčín,50.716702,14.366700
417 52,Hostomice,,Teplice,50.583302,13.816700
569 82,Oldřiš,,Svitavy,49.783298,16.016701
768 75,Loukov,,Kroměříž,49.416698,17.716700
289 32,Nový Dvůr,,Nymburk,50.233299,15.116700
382 41,Děkanské Skaliny,,Český Krumlov,48.750000,14.566700
561 13,Orlické Podhůří-Rozsocha,,Ústí nad Orlicí,50.033298,16.283300
594 55,Katov,,Žďár nad Sázavou,49.333302,16.283300
739 44,Brušperk,,Frýdek-Místek,49.700001,18.216700
702 00,Ostrava-Přívoz,,Ostrava-město,49.849998,18.275000
382 72,Rybník,,Český Krumlov,48.650002,14.433300
330 38,Blažim,,Plzeň-sever,49.916698,13.050000
508 01,Obora,,Jičín,50.366699,15.500000
696 49,Kelčany,,Hodonín,49.000000,17.183300
277 46,Veltrusy,,Mělník,50.266701,14.333300
582 32,Lipnice nad Sázavou,,Havlíčkův Brod,49.616699,15.416700
338 21,Osek,,Rokycany,49.766701,13.600000
535 01,Škudly,,Pardubice,50.033298,15.533300
289 41,Pňov-Předhradí,,Nymburk,50.091801,15.144800
387 75,Skočice,,Strakonice,49.183300,14.100000
294 79,Košátky,,Mladá Boleslav,50.321400,14.709500
435 21,Obrnice,,Most,50.516701,13.700000
756 44,Loučka,,Vsetín,49.433300,17.833300
471 28,Břevniště,,Česká Lípa,50.716702,14.866700
431 57,Chbany,,Chomutov,50.333302,13.433300
542 41,Vlčice,,Trutnov,50.566700,15.816700
687 13,Březolupy,,Uherské Hradiště,49.133301,17.583300
285 47,Křesetice,,Kutná Hora,49.916698,15.266700
387 56,Čepřovice,,Strakonice,49.150002,13.966700
512 01,Slaná,,Semily,50.583302,15.333300
592 55,Račice,,Žďár nad Sázavou,49.500000,16.133301
196 00,Praha 9-Čakovice,,Hlavní město Praha,50.155602,14.533300
382 32,Markvartice,,Český Krumlov,48.816700,14.433300
439 63,Liběšice,,Louny,50.299999,13.616700
533 74,Horní Jelení,,Pardubice,50.049999,16.100000
