930 04,Jurová,,Dunajská Streda,47.933601,17.522800
976 98,Vajsková,,Brezno,48.824600,19.503300
049 35,Ochtiná,,Rožňava,48.684101,20.327499
049 51,Brzotín,,Rožňava,48.631001,20.495701
951 25,Suľany,,Nitra,48.442902,18.025900
930 21,Jahodná,,Dunajská Streda,48.053001,17.707399
969 01,Klastava,,Banská Štiavnica,48.325199,18.870100
044 65,Košická Belá,,Košice-okolie,48.801701,21.111300
076 05,Cejkov,,Trebišov,48.466301,21.760500
935 26,Starý Tekov,,Levice,48.244701,18.536699
919 35,Hrnčiarovce n/Parnou,,Trnava,48.440601,17.636900
916 21,Čachtice,,Nové Mesto n.Váhom,48.755901,17.709400
020 64,Zubák,,Púchov,49.196899,18.153700
913 11,Veľké Bierovce,,Trenčín,48.852402,17.983000
027 53,Istebné,,Dolný Kubín,49.215099,19.221701
962 62,Sása,,Zvolen,48.435501,19.134300
044 47,Kecerovský Lipovec,,Košice-okolie,48.845299,21.434799
072 21,Nacina Ves,,Michalovce,48.818901,21.854601
082 13,Demjata,,Prešov,49.106499,21.313900
090 21,Vislava,,Stropkov,49.281502,21.660101
018 22,Tŕstie,,Považská Bystrica,49.113499,18.214399
013 51,Maršová,,Bytča,49.189899,18.522400
053 33,Nálepkovo,,Gelnica,48.842400,20.620300
072 23,Staré,,Michalovce,48.861401,21.875500
053 76,Biele Vody,,Spišská Nová Ves,48.864498,20.397100
941 06,Komjatice,,Nové Zámky,48.157001,18.170300
925 82,Tešedíkovo,,Šaľa,48.106098,17.851900
020 54,Dešná,,Púchov,49.208000,18.163900
821 01,Bratislava,,,48.148201,17.106701
065 02,Nižné Ružbachy,,Stará Ľubovňa,49.281101,20.577499
916 14,Hrašné,,Myjava,48.755901,17.709400
985 13,Madačka,,Lučenec,48.412102,19.414301
049 43,Silická Jablonica,,Rožňava,48.558300,20.608601
946 36,Kravany nad Dunajom,,Komárno,47.763302,18.483200
935 64,Keť,,Levice,47.966702,18.566700
941 05,Černík,,Nové Zámky,48.152199,18.226101
086 35,Becherov,,Bardejov,49.419701,21.313101
067 45,Karná,,Humenné,48.984200,21.806400
023 53,Staškov,,Čadca,49.421001,18.686899
038 04,Bystrička,,Martin,49.049999,18.883301
076 82,Veľká Tŕňa,,Trebišov,48.469002,21.678699
059 95,Toporec,,Kežmarok,49.264099,20.492901
980 41,Bottovo,,Rimavská Sobota,48.312698,20.150101
076 74,Drahňov,,Michalovce,48.593201,21.965900
076 37,Svinice,,Trebišov,48.457100,21.882200
067 01,Valentovce,,Medzilaborce,49.178299,21.953899
082 21,Medzany,,Prešov,49.043201,21.151699
972 51,Remata,,Prievidza,49.035500,18.887899
821 09,Bratislava,,,48.148201,17.106701
922 06,Nižná,,Piešťany,48.532902,17.650400
962 34,Železná Breznica,,Zvolen,48.616299,19.013000
900 89,Píla,,Pezinok,48.390900,17.331499
072 41,Vyšné Remety,,Sobrance,48.827801,22.167801
059 94,Ihľany,,Kežmarok,49.201698,20.533701
032 21,Jalovec,,Liptovský Mikuláš,49.136299,19.629499
029 41,Klin,,Námestovo,49.436798,19.492500
980 21,Vieska nad Blhom,,Rimavská Sobota,48.351101,20.198799
072 15,Dúbravka,,Michalovce,48.635899,21.888599
076 77,Ruská,,Michalovce,48.527302,22.140699
076 41,Dobrá,,Trebišov,48.412498,22.028601
951 54,Malé Chyndice,,Nitra,48.303200,18.285999
956 05,Vozokany,,Topoľčany,48.565601,17.994600
053 73,Oľšavica,,Levoča,49.083099,20.755199
065 22,Pilhovčík,,Stará Ľubovňa,49.395401,20.719601
094 05,Jasenovce,,Vranov nad Topľou,48.994598,21.744801
958 06,Partizánske,,,48.408401,18.153700
941 42,Veľké Lovce,,Nové Zámky,48.062302,18.338499
017 01,Dolný Moštenec,,Považská Bystrica,49.208801,18.678600
951 01,Štitáre,,Nitra,48.268600,18.196800
951 06,Dolný Vinodol,,Nitra,48.180099,18.211500
059 83,Nová Polianka,,Poprad,49.121899,20.176399
094 21,Kučín,,Vranov nad Topľou,48.869099,21.743900
972 12,Nedožery - Brezany,,Prievidza,49.035500,18.887899
969 82,Teplá,,Banská Štiavnica,48.498600,18.919100
900 53,Pernek,,Malacky,48.366901,17.144199
072 64,Inovce,,Sobrance,48.823002,22.358999
949 05,Horné Krškany,,Nitra,48.284199,18.088699
059 16,Hranovnica,,Poprad,48.989498,20.309000
908 73,Veľké Leváre,,Malacky,48.504002,17.003599
076 62,Dvorianky,,Trebišov,48.730900,21.707800
065 03,Podolínec,,Stará Ľubovňa,49.258701,20.535999
908 42,Smolinské,,Senica,48.675201,17.130199
958 42,Brodzany,,Partizánske,48.408401,18.153700
018 21,Dolný Lieskov,,Považská Bystrica,49.113499,18.214399
976 45,Hronec,,Brezno,48.797600,19.580500
982 66,Hrlica,,Revúca,48.628201,20.051001
831 54,Bratislava,,,48.148201,17.106701
946 14,Bodzianske Lúky,,Komárno,47.883301,17.900000
947 03,Bohatá,,Komárno,47.889198,18.216200
920 41,Leopoldov,,Hlohovec,48.445702,17.764601
922 21,Moravany nad Váhom,,Piešťany,48.601200,17.858299
018 56,Červený Kameň,,Ilava,48.934799,18.146299
027 05,Končitá,,Dolný Kubín,49.234200,19.132401
038 15,Karlová,,Martin,48.960602,18.900700
966 81,Žarnovická Huta,,Žarnovica,48.493198,18.688700
072 32,Jovsa,,Michalovce,48.819199,22.090799
076 01,Zemplínske Hradište,,Trebišov,48.583599,21.737200
919 28,Bučany,,Trnava,48.415798,17.697201
956 41,Radiša,,Bánovce nad Bebravou,48.532001,18.079399
913 07,Haluzice,,Nové Mesto n.Váhom,48.851101,17.922800
013 32,Zárieč - Keblov,,Žilina,49.262001,18.641800
