V15,Kilrush,,,52.639702,-9.483300
V92,Tralee,,,52.270401,-9.702600
A91,Dundalk,,,54.000000,-6.416700
D12,Dublin 12,,,53.321999,-6.316500
X91,Waterford,,,52.258301,-7.111900
A42,Garristown,,,53.566101,-6.385600
P67,Mitchelstown,,,52.265800,-8.268100
R14,Athy,,,52.991402,-6.980300
V93,Kenmare,,,51.883301,-9.583300
W91,Naas,,,53.215801,-6.666900
D02,Dublin 2,,,53.340000,-6.254300
E91,Clonmel,,,52.355000,-7.703900
